t,x,y,z,vx,vy,vz,wx,wy,wz,ke_trans,ke_rot,pe,e_total,mode
0.000000,0.000035,0.283553,0.176235,0.002106,10.413179,10.574082,0.000000,9.999950,0.000000,47.352788,0.104059,1.196112,48.652959,flying
0.016667,0.000105,0.453843,0.351879,0.004199,10.217410,10.538678,0.000000,9.999901,0.000000,46.323732,0.104058,1.914447,48.342236,flying
0.033333,0.000210,0.620888,0.526942,0.006277,10.022671,10.503776,0.000000,9.999851,0.000000,45.318407,0.104057,2.619090,48.041554,flying
0.050000,0.000349,0.784703,0.701432,0.008342,9.828938,10.469370,0.000000,9.999802,0.000000,44.336397,0.104056,3.310114,47.750567,flying
0.066667,0.000522,0.945306,0.875356,0.010394,9.636191,10.435449,0.000000,9.999752,0.000000,43.377300,0.104055,3.987586,47.468941,flying
0.083333,0.000729,1.102713,1.048723,0.012432,9.444408,10.402006,0.000000,9.999703,0.000000,42.440724,0.104054,4.651575,47.196353,flying
0.100000,0.000970,1.256939,1.221540,0.014458,9.253568,10.369031,0.000000,9.999653,0.000000,41.526287,0.104053,5.302148,46.932488,flying
0.116667,0.001245,1.408000,1.393815,0.016471,9.063650,10.336516,0.000000,9.999604,0.000000,40.633622,0.104052,5.939368,46.677041,flying
0.133333,0.001553,1.555911,1.565556,0.018472,8.874635,10.304453,0.000000,9.999554,0.000000,39.762368,0.104051,6.563299,46.429717,flying
0.150000,0.001894,1.700686,1.736770,0.020461,8.686503,10.272834,0.000000,9.999504,0.000000,38.912177,0.104050,7.174003,46.190230,flying
0.166667,0.002268,1.842340,1.907464,0.022438,8.499235,10.241650,0.000000,9.999455,0.000000,38.082711,0.104049,7.771542,45.958301,flying
0.183333,0.002674,1.980887,2.077646,0.024404,8.312812,10.210893,0.000000,9.999405,0.000000,37.273640,0.104048,8.355974,45.733662,flying
0.200000,0.003114,2.116340,2.247322,0.026359,8.127215,10.180556,0.000000,9.999356,0.000000,36.484645,0.104047,8.927358,45.516050,flying
0.216667,0.003585,2.248714,2.416499,0.028303,7.942426,10.150630,0.000000,9.999306,0.000000,35.715416,0.104046,9.485750,45.305212,flying
0.233333,0.004089,2.378021,2.585184,0.030235,7.758427,10.121108,0.000000,9.999257,0.000000,34.965651,0.104045,10.031207,45.100902,flying
0.250000,0.004625,2.504275,2.753384,0.032158,7.575202,10.091982,0.000000,9.999207,0.000000,34.235056,0.104043,10.563781,44.902880,flying
0.266667,0.005193,2.627487,2.921104,0.034070,7.392733,10.063244,0.000000,9.999158,0.000000,33.523347,0.104042,11.083527,44.710916,flying
0.283333,0.005792,2.747670,3.088352,0.035971,7.211003,10.034887,0.000000,9.999108,0.000000,32.830247,0.104041,11.590497,44.524785,flying
0.300000,0.006424,2.864837,3.255134,0.037863,7.029996,10.006904,0.000000,9.999058,0.000000,32.155487,0.104040,12.084741,44.344268,flying
0.316667,0.007086,2.978998,3.421456,0.039745,6.849696,9.979286,0.000000,9.999009,0.000000,31.498806,0.104039,12.566309,44.169154,flying
0.333333,0.007780,3.090166,3.587323,0.041618,6.670088,9.952027,0.000000,9.998959,0.000000,30.859949,0.104038,13.035249,43.999236,flying
0.350000,0.008504,3.198352,3.752741,0.043481,6.491156,9.925119,0.000000,9.998910,0.000000,30.238670,0.104037,13.491610,43.834317,flying
0.366667,0.009260,3.303567,3.917717,0.045335,6.312885,9.898554,0.000000,9.998860,0.000000,29.634729,0.104036,13.935437,43.674202,flying
0.383333,0.010046,3.405821,4.082256,0.047180,6.135261,9.872326,0.000000,9.998811,0.000000,29.047892,0.104035,14.366777,43.518704,flying
0.400000,0.010863,3.505126,4.246363,0.049016,5.958268,9.846428,0.000000,9.998761,0.000000,28.477933,0.104034,14.785673,43.367640,flying
0.416667,0.011711,3.601491,4.410044,0.050843,5.781894,9.820851,0.000000,9.998712,0.000000,27.924631,0.104033,15.192169,43.220833,flying
0.433333,0.012588,3.694926,4.573304,0.052662,5.606125,9.795590,0.000000,9.998662,0.000000,27.387772,0.104032,15.586307,43.078112,flying
0.450000,0.013496,3.785442,4.736148,0.054473,5.430946,9.770636,0.000000,9.998612,0.000000,26.867147,0.104031,15.968130,42.939309,flying
0.466667,0.014434,3.873048,4.898581,0.056275,5.256346,9.745983,0.000000,9.998563,0.000000,26.362555,0.104030,16.337678,42.804262,flying
0.483333,0.015402,3.957753,5.060608,0.058069,5.082311,9.721624,0.000000,9.998513,0.000000,25.873796,0.104029,16.694989,42.672815,flying
0.500000,0.016399,4.039567,5.222234,0.059855,4.908830,9.697552,0.000000,9.998464,0.000000,25.400681,0.104028,17.040105,42.544814,flying
0.516667,0.017427,4.118498,5.383463,0.061633,4.735889,9.673759,0.000000,9.998414,0.000000,24.943022,0.104027,17.373061,42.420111,flying
0.533333,0.018483,4.194556,5.544300,0.063404,4.563477,9.650239,0.000000,9.998365,0.000000,24.500639,0.104026,17.693897,42.298561,flying
0.550000,0.019569,4.267749,5.704750,0.065167,4.391583,9.626985,0.000000,9.998315,0.000000,24.073353,0.104025,18.002647,42.180025,flying
0.566667,0.020685,4.338086,5.864817,0.066922,4.220196,9.603989,0.000000,9.998266,0.000000,23.660995,0.104024,18.299348,42.064367,flying
0.583333,0.021829,4.405574,6.024504,0.068670,4.049305,9.581245,0.000000,9.998216,0.000000,23.263396,0.104023,18.584034,41.951453,flying
0.600000,0.023003,4.470223,6.183816,0.070411,3.878899,9.558746,0.000000,9.998166,0.000000,22.880395,0.104022,18.856740,41.841157,flying
0.616667,0.024205,4.532039,6.342758,0.072145,3.708968,9.536485,0.000000,9.998117,0.000000,22.511831,0.104021,19.117499,41.733351,flying
0.633333,0.025436,4.591030,6.501332,0.073871,3.539502,9.514455,0.000000,9.998067,0.000000,22.157552,0.104020,19.366344,41.627916,flying
0.650000,0.026696,4.647205,6.659543,0.075590,3.370492,9.492649,0.000000,9.998018,0.000000,21.817407,0.104019,19.603306,41.524732,flying
0.666667,0.027985,4.700571,6.817394,0.077303,3.201929,9.471060,0.000000,9.997968,0.000000,21.491248,0.104018,19.828418,41.423684,flying
0.683333,0.029302,4.751134,6.974889,0.079009,3.033803,9.449681,0.000000,9.997919,0.000000,21.178934,0.104017,20.041709,41.324661,flying
0.700000,0.030647,4.798903,7.132030,0.080707,2.866107,9.428505,0.000000,9.997869,0.000000,20.880326,0.104016,20.243211,41.227553,flying
0.716667,0.032020,4.843883,7.288822,0.082399,2.698831,9.407526,0.000000,9.997820,0.000000,20.595287,0.104015,20.432952,41.132254,flying
0.733333,0.033421,4.886083,7.445268,0.084085,2.531969,9.386737,0.000000,9.997770,0.000000,20.323684,0.104014,20.610962,41.038660,flying
0.750000,0.034851,4.925508,7.601370,0.085764,2.365512,9.366130,0.000000,9.997721,0.000000,20.065389,0.104013,20.777270,40.946672,flying
0.766667,0.036308,4.962165,7.757132,0.087436,2.199453,9.345699,0.000000,9.997671,0.000000,19.820276,0.104012,20.931902,40.856190,flying
0.783333,0.037793,4.996062,7.912556,0.089101,2.033785,9.325437,0.000000,9.997621,0.000000,19.588220,0.104011,21.074888,40.767118,flying
0.800000,0.039306,5.027204,8.067645,0.090761,1.868503,9.305337,0.000000,9.997572,0.000000,19.369101,0.104009,21.206253,40.679363,flying
0.816667,0.040846,5.055597,8.222401,0.092413,1.703598,9.285393,0.000000,9.997522,0.000000,19.162801,0.104008,21.326024,40.592834,flying
0.833333,0.042414,5.081248,8.376828,0.094059,1.539067,9.265597,0.000000,9.997473,0.000000,18.969205,0.104007,21.434228,40.507441,flying
0.850000,0.044009,5.104163,8.530927,0.095699,1.374902,9.245943,0.000000,9.997423,0.000000,18.788199,0.104006,21.530891,40.423096,flying
0.866667,0.045631,5.124348,8.684701,0.097333,1.211099,9.226424,0.000000,9.997374,0.000000,18.619673,0.104005,21.616037,40.339716,flying
0.883333,0.047280,5.141809,8.838151,0.098960,1.047653,9.207033,0.000000,9.997324,0.000000,18.463518,0.104004,21.689692,40.257215,flying
0.900000,0.048956,5.156551,8.991281,0.100580,0.884560,9.187764,0.000000,9.997275,0.000000,18.319627,0.104003,21.751881,40.175512,flying
0.916667,0.050660,5.168582,9.144091,0.102194,0.721814,9.168610,0.000000,9.997225,0.000000,18.187896,0.104002,21.802628,40.094527,flying
0.933333,0.052390,5.177905,9.296584,0.103802,0.559413,9.149564,0.000000,9.997176,0.000000,18.068221,0.104001,21.841958,40.014180,flying
0.950000,0.054146,5.184528,9.448761,0.105403,0.397353,9.130620,0.000000,9.997126,0.000000,17.960502,0.104000,21.869894,39.934396,flying
0.966667,0.055930,5.188455,9.600623,0.106998,0.235631,9.111771,0.000000,9.997076,0.000000,17.864639,0.103999,21.886460,39.855098,flying
0.983333,0.057740,5.189692,9.752174,0.108587,0.074243,9.093011,0.000000,9.997027,0.000000,17.780533,0.103998,21.891680,39.776210,flying
1.000000,0.059576,5.188246,9.903413,0.110169,-0.086812,9.074333,0.000000,9.996977,0.000000,17.708088,0.103997,21.885576,39.697661,flying
1.016667,0.061438,5.184120,10.054341,0.111744,-0.247538,9.055732,0.000000,9.996928,0.000000,17.647208,0.103996,21.868173,39.619377,flying
1.033333,0.063327,5.177321,10.204961,0.113313,-0.407935,9.037199,0.000000,9.996878,0.000000,17.597798,0.103995,21.839493,39.541287,flying
1.050000,0.065241,5.167854,10.355274,0.114876,-0.568005,9.018731,0.000000,9.996829,0.000000,17.559766,0.103994,21.799560,39.463320,flying
1.066667,0.067182,5.155725,10.505279,0.116431,-0.727750,9.000319,0.000000,9.996779,0.000000,17.533019,0.103993,21.748395,39.385408,flying
1.083333,0.069148,5.140939,10.654978,0.117980,-0.887171,8.981959,0.000000,9.996730,0.000000,17.517466,0.103992,21.686023,39.307480,flying
1.100000,0.071140,5.123501,10.804372,0.119523,-1.046267,8.963644,0.000000,9.996680,0.000000,17.513015,0.103991,21.612465,39.229470,flying
1.116667,0.073158,5.103417,10.953462,0.121059,-1.205040,8.945369,0.000000,9.996631,0.000000,17.519576,0.103990,21.527744,39.151310,flying
1.133333,0.075201,5.080692,11.102247,0.122587,-1.363489,8.927127,0.000000,9.996581,0.000000,17.537060,0.103989,21.431884,39.072933,flying
1.150000,0.077269,5.055332,11.250729,0.124109,-1.521614,8.908912,0.000000,9.996531,0.000000,17.565378,0.103988,21.324907,38.994273,flying
1.166667,0.079363,5.027342,11.398908,0.125624,-1.679414,8.890720,0.000000,9.996482,0.000000,17.604441,0.103987,21.206836,38.915264,flying
1.183333,0.081482,4.996727,11.546783,0.127132,-1.836888,8.872545,0.000000,9.996432,0.000000,17.654160,0.103986,21.077694,38.835839,flying
1.200000,0.083626,4.963493,11.694356,0.128633,-1.994036,8.854381,0.000000,9.996383,0.000000,17.714448,0.103985,20.937503,38.755936,flying
1.216667,0.085795,4.927645,11.841627,0.130127,-2.150856,8.836222,0.000000,9.996333,0.000000,17.785216,0.103984,20.786287,38.675487,flying
1.233333,0.087988,4.889190,11.988595,0.131614,-2.307345,8.818065,0.000000,9.996284,0.000000,17.866377,0.103983,20.624069,38.594429,flying
1.250000,0.090206,4.848131,12.135260,0.133093,-2.463503,8.799903,0.000000,9.996234,0.000000,17.957843,0.103982,20.450872,38.512697,flying
1.266667,0.092449,4.804476,12.281622,0.134565,-2.619327,8.781732,0.000000,9.996185,0.000000,18.059526,0.103981,20.266721,38.430227,flying
1.283333,0.094716,4.758229,12.427681,0.136030,-2.774814,8.763547,0.000000,9.996135,0.000000,18.171337,0.103980,20.071637,38.346954,flying
1.300000,0.097008,4.709396,12.573437,0.137487,-2.929962,8.745343,0.000000,9.996086,0.000000,18.293190,0.103979,19.865646,38.262815,flying
1.316667,0.099323,4.657984,12.718889,0.138937,-3.084767,8.727116,0.000000,9.996036,0.000000,18.424994,0.103978,19.648772,38.177744,flying
1.333333,0.101663,4.603996,12.864036,0.140378,-3.239228,8.708861,0.000000,9.995986,0.000000,18.566662,0.103976,19.421038,38.091677,flying
1.350000,0.104027,4.547441,13.008879,0.141812,-3.393339,8.690575,0.000000,9.995937,0.000000,18.718105,0.103975,19.182469,38.004550,flying
1.366667,0.106414,4.488322,13.153417,0.143239,-3.547099,8.672252,0.000000,9.995887,0.000000,18.879233,0.103974,18.933090,37.916298,flying
1.383333,0.108825,4.426647,13.297648,0.144657,-3.700503,8.653889,0.000000,9.995838,0.000000,19.049957,0.103973,18.672927,37.826857,flying
1.400000,0.111259,4.362422,13.441573,0.146067,-3.853548,8.635483,0.000000,9.995788,0.000000,19.230186,0.103972,18.402003,37.736161,flying
1.416667,0.113717,4.295651,13.585190,0.147469,-4.006228,8.617028,0.000000,9.995739,0.000000,19.419829,0.103971,18.120345,37.644145,flying
1.433333,0.116198,4.226342,13.728499,0.148863,-4.158541,8.598522,0.000000,9.995689,0.000000,19.618795,0.103970,17.827979,37.550744,flying
1.450000,0.118702,4.154501,13.871498,0.150249,-4.310482,8.579961,0.000000,9.995640,0.000000,19.826993,0.103969,17.524930,37.455892,flying
1.466667,0.121229,4.080133,14.014187,0.151626,-4.462046,8.561343,0.000000,9.995590,0.000000,20.044329,0.103968,17.211226,37.359523,flying
1.483333,0.123779,4.003246,14.156565,0.152994,-4.613229,8.542662,0.000000,9.995541,0.000000,20.270711,0.103967,16.886893,37.261571,flying
1.500000,0.126352,3.923846,14.298630,0.154355,-4.764027,8.523918,0.000000,9.995491,0.000000,20.506044,0.103966,16.551958,37.161969,flying
1.516667,0.128947,3.841938,14.440382,0.155706,-4.914433,8.505106,0.000000,9.995442,0.000000,20.750236,0.103965,16.206449,37.060650,flying
1.533333,0.131565,3.757531,14.581819,0.157049,-5.064443,8.486224,0.000000,9.995392,0.000000,21.003190,0.103964,15.850393,36.957547,flying
1.550000,0.134204,3.670630,14.722940,0.158383,-5.214053,8.467270,0.000000,9.995343,0.000000,21.264810,0.103963,15.483819,36.852592,flying
1.566667,0.136866,3.581243,14.863744,0.159708,-5.363257,8.448240,0.000000,9.995293,0.000000,21.535001,0.103962,15.106755,36.745718,flying
